amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[56884804, 603587, 7.5769722E9, 60日新高, 纺织服装, 3.2110090255737305, 16.79, 1.7932469844818115, 15.75, 2022-12-07, 地素时尚, 0.7612496018409729, 4322, 7.52967495E9, {"ct":0,"days":0}, true]
[57088780, 601595, 4.889862E9, 60日新高, 文化传媒, 1.4883720874786377, 11.83, 1.0636303424835205, 10.91, 2022-12-07, 上海电影, 1.1768841743469238, 4323, 4.889862E9, {"ct":0,"days":0}, true]
[57257691, 603358, 8.7720192E9, 60日新高, 汽车零部, 1.627670407295227, 21.63, 1.3624836206436157, 19.98, 2022-12-07, 华达科技, 0.6553550958633423, 4324, 8.7720192E9, {"ct":0,"days":0}, true]
[57342740, 002832, 1.471853579952E10, 60日新高, 纺织服装, 1.3359527587890625, 28.0, 0.6534222960472107, 25.79, 2022-12-07, 比音勒芬, 0.5725963711738586, 4325, 1.004309754436E10, {"ct":0,"days":0}, true]
[59446163, 600350, 2.819092125696E10, 60日新高, 铁路公路, 0.8635578751564026, 6.37, 1.4368681907653809, 5.84, 2022-12-07, 山东高速, 0.21150921285152435, 4326, 2.819092060872E10, {"ct":0,"days":0}, true]
[60700543, 300952, 2.87681391205E9, 60日新高, 纺织服装, 2.6901190280914307, 23.2, 1.1098713874816895, 19.85, 2022-12-07, 恒辉安防, 6.793395042419434, 4327, 8.918139120500001E8, {"ct":0,"days":0}, true]
[62478255, 000429, 1.647555228864E10, 60日新高, 铁路公路, 1.0256410837173462, 8.58, 2.3901638984680176, 7.88, 2022-12-07, 粤高速Ａ, 0.6084533333778381, 4328, 1.027019356128E10, {"ct":0,"days":0}, true]
[64463979, 603167, 3.4341377107200003E9, 60日新高, 航运港口, 1.5256588459014893, 7.93, 2.4905500411987305, 7.32, 2022-12-07, 渤海轮渡, 1.8833216428756714, 4329, 3.43413776196E9, {"ct":0,"days":0}, true]
[68384356, 603637, 2.24915138279E9, 60日新高, 工程建设, 0.8743169903755188, 10.07, 1.153010606765747, 9.23, 2022-12-07, 镇海股份, 3.041686773300171, 4330, 2.24915138279E9, {"ct":0,"days":0}, true]
[69361947, 600530, 3.3228E9, 60日新高, 生物制品, 3.9024391174316406, 4.51, 1.748045563697815, 4.26, 2022-12-07, 交大昂立, 2.1184146404266357, 4331, 3.3228E9, {"ct":0,"days":0}, true]
