timing,price,avgPrice,tradingVolume,ratio,tradingAmount
[930, 0.71, 0.71, 20, 1.43, 14]
[931, 0.7, 0.7, 1700, 0.0, 1190]
[932, 0.7, 0.7, 0, 0.0, 0]
[933, 0.7, 0.7, 1000, 0.0, 700]
[934, 0.7, 0.7, 720, 0.0, 503]
[935, 0.7, 0.7, 1160, 0.0, 812]
[936, 0.7, 0.7, 640, 0.0, 448]
[937, 0.7, 0.7, 0, 0.0, 0]
[938, 0.7, 0.7, 0, 0.0, 0]
[939, 0.7, 0.7, 0, 0.0, 0]
[940, 0.7, 0.7, 0, 0.0, 0]
[941, 0.7, 0.7, 1240, 0.0, 868]
[942, 0.71, 0.7, 20, 1.43, 14]
[943, 0.71, 0.7, 1000, 1.43, 700]
[944, 0.71, 0.7, 200, 1.43, 140]
[945, 0.71, 0.7, 0, 1.43, 0]
[946, 0.71, 0.7, 0, 1.43, 0]
[947, 0.71, 0.7, 140, 1.43, 98]
[948, 0.71, 0.7, 800, 1.43, 560]
[949, 0.71, 0.7, 0, 1.43, 0]
[950, 0.71, 0.71, 6100, 1.43, 4331]
[951, 0.72, 0.71, 900, 2.86, 639]
[952, 0.72, 0.71, 5540, 2.86, 3933]
[953, 0.73, 0.72, 7900, 4.29, 5688]
[954, 0.75, 0.73, 17710, 7.14, 12928]
[955, 0.79, 0.75, 41120, 12.86, 30840]
[956, 0.8, 0.76, 31280, 14.29, 23772]
[957, 0.84, 0.78, 45320, 20.0, 35349]
[958, 0.85, 0.79, 25920, 21.43, 20476]
[959, 0.84, 0.8, 27380, 20.0, 21904]
[1000, 0.84, 0.8, 12720, 20.0, 10176]
[1001, 0.83, 0.8, 26260, 18.57, 21008]
[1002, 0.85, 0.81, 34700, 21.43, 28107]
[1003, 0.9, 0.82, 60020, 28.57, 49216]
[1004, 0.89, 0.84, 86080, 27.14, 72307]
[1005, 0.92, 0.84, 43300, 31.43, 36372]
[1006, 0.92, 0.85, 81420, 31.43, 69207]
[1007, 0.89, 0.86, 23760, 27.14, 20433]
