timing,price,avgPrice,tradingVolume,ratio,tradingAmount
[1418, 1.55, 1.62, 250, 0.0, 405]
[1419, 1.55, 1.62, 0, 0.0, 0]
[1420, 1.55, 1.62, 10, 0.0, 16]
[1421, 1.54, 1.62, 330, -0.65, 534]
[1422, 1.54, 1.62, 330, -0.65, 534]
[1423, 1.54, 1.62, 210, -0.65, 340]
[1424, 1.54, 1.62, 120, -0.65, 194]
[1425, 1.54, 1.62, 160, -0.65, 259]
[1426, 1.55, 1.62, 640, 0.0, 1036]
[1427, 1.55, 1.62, 1060, 0.0, 1717]
[1428, 1.55, 1.62, 20, 0.0, 32]
[1429, 1.55, 1.62, 70, 0.0, 113]
[1430, 1.56, 1.62, 1230, 0.65, 1992]
[1431, 1.56, 1.62, 40, 0.65, 64]
[1432, 1.56, 1.62, 0, 0.65, 0]
[1433, 1.57, 1.62, 4560, 1.29, 7387]
[1434, 1.59, 1.62, 2990, 2.58, 4843]
[1435, 1.59, 1.62, 2160, 2.58, 3499]
[1436, 1.58, 1.62, 2530, 1.94, 4098]
[1437, 1.61, 1.62, 5670, 3.87, 9185]
[1438, 1.63, 1.62, 8450, 5.16, 13689]
[1439, 1.6, 1.62, 7300, 3.23, 11826]
[1440, 1.61, 1.62, 9950, 3.87, 16119]
[1441, 1.62, 1.62, 2280, 4.52, 3693]
[1442, 1.62, 1.62, 1150, 4.52, 1863]
[1443, 1.62, 1.62, 1980, 4.52, 3207]
[1444, 1.61, 1.62, 540, 3.87, 874]
[1445, 1.63, 1.62, 7600, 5.16, 12312]
[1446, 1.64, 1.62, 4390, 5.81, 7111]
[1447, 1.61, 1.62, 10370, 3.87, 16799]
[1448, 1.62, 1.62, 3900, 4.52, 6318]
[1449, 1.65, 1.62, 4070, 6.45, 6593]
[1450, 1.66, 1.62, 13520, 7.1, 21902]
[1451, 1.64, 1.62, 2400, 5.81, 3888]
[1452, 1.65, 1.62, 1190, 6.45, 1927]
[1453, 1.63, 1.62, 2120, 5.16, 3434]
[1454, 1.65, 1.62, 10750, 6.45, 17415]
[1455, 1.65, 1.62, 1120, 6.45, 1814]
[1456, 1.63, 1.62, 1850, 5.16, 2997]
[1457, 1.63, 1.62, 1240, 5.16, 2008]
[1458, 1.64, 1.62, 2100, 5.81, 3402]
[1459, 1.63, 1.62, 2410, 5.16, 3904]
[1500, 1.63, 1.62, 1740, 5.16, 2818]
[1501, 1.63, 1.62, 17390, 5.16, 28171]
[1502, 1.63, 1.62, 1800, 5.16, 2916]
[1503, 1.62, 1.62, 1250, 4.52, 2025]
[1504, 1.61, 1.62, 2030, 3.87, 3288]
[1505, 1.61, 1.62, 2230, 3.87, 3612]
[1506, 1.61, 1.62, 1190, 3.87, 1927]
[1507, 1.61, 1.62, 4010, 3.87, 6496]
[1508, 1.61, 1.62, 1440, 3.87, 2332]
[1509, 1.61, 1.62, 1940, 3.87, 3142]
[1510, 1.61, 1.62, 410, 3.87, 664]
[1511, 1.61, 1.62, 60, 3.87, 97]
[1512, 1.61, 1.62, 240, 3.87, 388]
[1513, 1.63, 1.62, 10240, 5.16, 16588]
[1514, 1.63, 1.62, 1230, 5.16, 1992]
[1515, 1.61, 1.62, 6510, 3.87, 10546]
[1516, 1.62, 1.62, 60, 4.52, 97]
[1517, 1.61, 1.62, 4900, 3.87, 7938]
[1518, 1.62, 1.62, 3490, 4.52, 5653]
[1519, 1.63, 1.62, 2630, 5.16, 4260]
[1520, 1.62, 1.62, 110, 4.52, 178]
[1521, 1.62, 1.62, 2200, 4.52, 3564]
[1522, 1.62, 1.62, 1720, 4.52, 2786]
[1523, 1.61, 1.62, 1800, 3.87, 2916]
[1524, 1.61, 1.62, 680, 3.87, 1101]
[1525, 1.61, 1.62, 180, 3.87, 291]
[1526, 1.62, 1.62, 1470, 4.52, 2381]
[1527, 1.61, 1.62, 759, 3.87, 1229]
[1528, 1.61, 1.62, 60, 3.87, 97]
[1529, 1.61, 1.62, 470, 3.87, 761]
[1530, 1.6, 1.62, 2400, 3.23, 3888]
[1531, 1.6, 1.62, 7440, 3.23, 12052]
[1532, 1.59, 1.62, 310, 2.58, 502]
[1533, 1.6, 1.62, 20, 3.23, 32]
[1534, 1.6, 1.62, 100, 3.23, 162]
[1535, 1.6, 1.62, 1550, 3.23, 2511]
[1536, 1.6, 1.62, 100, 3.23, 162]
[1537, 1.6, 1.62, 30, 3.23, 48]
[1538, 1.58, 1.62, 4400, 1.94, 7128]
[1539, 1.59, 1.62, 100, 2.58, 162]
[1540, 1.59, 1.62, 1300, 2.58, 2106]
[1541, 1.58, 1.62, 2220, 1.94, 3596]
[1542, 1.58, 1.62, 740, 1.94, 1198]
[1543, 1.58, 1.62, 560, 1.94, 907]
[1544, 1.57, 1.62, 2100, 1.29, 3402]
[1545, 1.58, 1.62, 840, 1.94, 1360]
[1546, 1.59, 1.62, 840, 2.58, 1360]
[1547, 1.6, 1.62, 380, 3.23, 615]
[1548, 1.6, 1.62, 1210, 3.23, 1960]
[1549, 1.59, 1.62, 120, 2.58, 194]
[1550, 1.59, 1.62, 760, 2.58, 1231]
[1551, 1.59, 1.62, 120, 2.58, 194]
[1552, 1.59, 1.62, 640, 2.58, 1036]
[1553, 1.59, 1.62, 2100, 2.58, 3402]
[1554, 1.59, 1.62, 2620, 2.58, 4244]
[1555, 1.59, 1.62, 310, 2.58, 502]
[1556, 1.59, 1.62, 0, 2.58, 0]
[1557, 1.58, 1.62, 1730, 1.94, 2802]
[1558, 1.59, 1.62, 9400, 2.58, 15228]
[1559, 1.59, 1.62, 440, 2.58, 712]
[1600, 1.57, 1.62, 65310, 1.29, 105802]
